individual,day,steps,true_mu_i,true_tau2_+sigma2_i
29,7,10402,10272.041895302258,2000000
29,8,10100,10272.041895302258,2000000
29,9,9145,10272.041895302258,2000000
29,10,11304,10272.041895302258,2000000
30,1,8006,8253.133891482888,2000000
30,2,8493,8253.133891482888,2000000
30,3,8560,8253.133891482888,2000000
30,4,7884,8253.133891482888,2000000
30,5,7643,8253.133891482888,2000000
30,6,9101,8253.133891482888,2000000
30,7,8827,8253.133891482888,2000000
30,8,7854,8253.133891482888,2000000
30,9,8498,8253.133891482888,2000000
30,10,8505,8253.133891482888,2000000
