individual,day,steps,true_mu_i,true_tau2_+sigma2_i
13,9,10131,10259.650351908273,20000
13,10,10199,10259.650351908273,20000
14,1,9880,9872.603335106136,20000
14,2,9900,9872.603335106136,20000
14,3,9897,9872.603335106136,20000
14,4,9858,9872.603335106136,20000
14,5,9889,9872.603335106136,20000
14,6,9841,9872.603335106136,20000
14,7,9879,9872.603335106136,20000
14,8,9875,9872.603335106136,20000
14,9,9782,9872.603335106136,20000
14,10,9900,9872.603335106136,20000
15,1,10386,10294.900806203099,20000
15,2,10201,10294.900806203099,20000
15,3,10414,10294.900806203099,20000
15,4,10323,10294.900806203099,20000
15,5,10402,10294.900806203099,20000
15,6,10305,10294.900806203099,20000
15,7,10317,10294.900806203099,20000
15,8,10306,10294.900806203099,20000
15,9,10304,10294.900806203099,20000
15,10,10322,10294.900806203099,20000
16,1,9966,10020.898486163765,20000
16,2,9953,10020.898486163765,20000
16,3,9914,10020.898486163765,20000
16,4,10053,10020.898486163765,20000
16,5,10069,10020.898486163765,20000
16,6,9952,10020.898486163765,20000
16,7,9962,10020.898486163765,20000
16,8,10068,10020.898486163765,20000
16,9,9910,10020.898486163765,20000
16,10,9921,10020.898486163765,20000
17,1,9970,10073.130518184935,20000
17,2,10090,10073.130518184935,20000
17,3,10042,10073.130518184935,20000
17,4,10136,10073.130518184935,20000
17,5,10128,10073.130518184935,20000
17,6,10059,10073.130518184935,20000
17,7,9961,10073.130518184935,20000
17,8,10068,10073.130518184935,20000
17,9,10064,10073.130518184935,20000
17,10,10105,10073.130518184935,20000
18,1,10062,10021.32942119504,20000
18,2,10068,10021.32942119504,20000
18,3,9996,10021.32942119504,20000
18,4,10066,10021.32942119504,20000
18,5,9902,10021.32942119504,20000
18,6,9992,10021.32942119504,20000
18,7,10015,10021.32942119504,20000
18,8,10001,10021.32942119504,20000
18,9,10021,10021.32942119504,20000
18,10,10027,10021.32942119504,20000
19,1,9925,10007.24795747705,20000
19,2,9957,10007.24795747705,20000
19,3,9957,10007.24795747705,20000
19,4,10068,10007.24795747705,20000
19,5,10039,10007.24795747705,20000
19,6,10027,10007.24795747705,20000
19,7,9980,10007.24795747705,20000
19,8,10035,10007.24795747705,20000
19,9,10162,10007.24795747705,20000
19,10,9909,10007.24795747705,20000
20,1,10153,10107.919767466301,20000
20,2,10153,10107.919767466301,20000
20,3,10041,10107.919767466301,20000
20,4,10130,10107.919767466301,20000
20,5,10169,10107.919767466301,20000
20,6,10136,10107.919767466301,20000
20,7,9966,10107.919767466301,20000
20,8,10254,10107.919767466301,20000
20,9,10001,10107.919767466301,20000
20,10,10081,10107.919767466301,20000
21,1,9864,9921.236599084323,20000
21,2,10030,9921.236599084323,20000
21,3,9852,9921.236599084323,20000
21,4,9863,9921.236599084323,20000
21,5,9872,9921.236599084323,20000
21,6,9972,9921.236599084323,20000
21,7,9941,9921.236599084323,20000
21,8,9830,9921.236599084323,20000
21,9,9921,9921.236599084323,20000
21,10,9893,9921.236599084323,20000
22,1,10153,10102.5268515608,20000
22,2,10103,10102.5268515608,20000
22,3,9988,10102.5268515608,20000
22,4,9995,10102.5268515608,20000
22,5,10074,10102.5268515608,20000
22,6,10188,10102.5268515608,20000
22,7,10035,10102.5268515608,20000
22,8,10157,10102.5268515608,20000
22,9,10091,10102.5268515608,20000
22,10,10064,10102.5268515608,20000
23,1,10149,10130.548315253112,20000
23,2,10114,10130.548315253112,20000
23,3,10121,10130.548315253112,20000
23,4,10193,10130.548315253112,20000
23,5,10045,10130.548315253112,20000
23,6,10215,10130.548315253112,20000
23,7,10004,10130.548315253112,20000
23,8,10195,10130.548315253112,20000
23,9,10309,10130.548315253112,20000
23,10,10049,10130.548315253112,20000
24,1,10341,10227.356772915582,20000
24,2,10209,10227.356772915582,20000
24,3,10244,10227.356772915582,20000
24,4,10206,10227.356772915582,20000
24,5,10244,10227.356772915582,20000
24,6,10272,10227.356772915582,20000
24,7,10394,10227.356772915582,20000
24,8,10186,10227.356772915582,20000
24,9,10240,10227.356772915582,20000
24,10,10138,10227.356772915582,20000
25,1,9720,9822.506600475977,20000
25,2,9823,9822.506600475977,20000
25,3,9711,9822.506600475977,20000
25,4,9820,9822.506600475977,20000
25,5,9803,9822.506600475977,20000
25,6,9828,9822.506600475977,20000
25,7,9968,9822.506600475977,20000
25,8,9829,9822.506600475977,20000
25,9,9846,9822.506600475977,20000
25,10,9896,9822.506600475977,20000
26,1,10045,10038.440349123412,20000
26,2,9893,10038.440349123412,20000
26,3,9988,10038.440349123412,20000
26,4,9928,10038.440349123412,20000
26,5,10087,10038.440349123412,20000
26,6,10173,10038.440349123412,20000
26,7,10120,10038.440349123412,20000
26,8,9977,10038.440349123412,20000
26,9,9860,10038.440349123412,20000
26,10,10112,10038.440349123412,20000
27,1,10210,10114.702107745163,20000
27,2,10132,10114.702107745163,20000
27,3,10206,10114.702107745163,20000
27,4,10140,10114.702107745163,20000
27,5,9999,10114.702107745163,20000
27,6,10145,10114.702107745163,20000
27,7,10072,10114.702107745163,20000
27,8,10250,10114.702107745163,20000
27,9,10104,10114.702107745163,20000
27,10,10035,10114.702107745163,20000
28,1,9880,9983.032322274317,20000
28,2,9905,9983.032322274317,20000
28,3,10026,9983.032322274317,20000
28,4,9985,9983.032322274317,20000
28,5,9906,9983.032322274317,20000
28,6,9865,9983.032322274317,20000
28,7,9951,9983.032322274317,20000
28,8,9871,9983.032322274317,20000
28,9,9981,9983.032322274317,20000
28,10,10044,9983.032322274317,20000
29,1,10084,10027.204189530226,20000
29,2,10012,10027.204189530226,20000
29,3,10134,10027.204189530226,20000
29,4,10072,10027.204189530226,20000
29,5,9886,10027.204189530226,20000
29,6,10044,10027.204189530226,20000
29,7,10040,10027.204189530226,20000
29,8,10010,10027.204189530226,20000
29,9,9914,10027.204189530226,20000
29,10,10130,10027.204189530226,20000
30,1,9800,9825.313389148288,20000
30,2,9849,9825.313389148288,20000
30,3,9856,9825.313389148288,20000
30,4,9788,9825.313389148288,20000
30,5,9764,9825.313389148288,20000
30,6,9910,9825.313389148288,20000
30,7,9882,9825.313389148288,20000
30,8,9785,9825.313389148288,20000
30,9,9849,9825.313389148288,20000
30,10,9850,9825.313389148288,20000
